Dataset,N,m,RMSE,Type
boston,600,0.5,0.21242570877075195,cmll
boston,600,0.5,0.257386714220047,cmll
boston,600,0.5,0.2092566341161728,cmll
boston,600,0.5,0.20884092152118683,cmll
boston,600,0.5,0.25044506788253784,cmll
winered,200,0.1,1.0706614255905151,cmll
winered,200,0.1,1.333107352256775,cmll
winered,200,0.1,1.075385570526123,cmll
winered,200,0.1,1.1586520671844482,cmll
winered,200,0.1,1.177789330482483,cmll
winered,200,0.1,1.0959949493408203,cmll
winered,200,0.1,1.181930661201477,cmll
winered,200,0.1,1.4212332963943481,cmll
winered,200,0.1,1.3596718311309814,cmll
winered,200,0.1,1.3739126920700073,cmll
concrete,200,0.9,0.5364592671394348,cmll
concrete,200,0.9,0.4772385358810425,cmll
concrete,200,0.9,0.4883912205696106,cmll
concrete,200,0.9,0.6285284757614136,cmll
concrete,200,0.9,0.5026952624320984,cmll
concrete,200,0.9,0.4582322835922241,cmll
concrete,200,0.9,0.49385640025138855,cmll
concrete,200,0.9,0.5093042850494385,cmll
concrete,200,0.9,0.5226013660430908,cmll
concrete,200,0.9,0.46410074830055237,cmll
winewhite,400,0.0,1.1159614324569702,mll
winewhite,400,0.0,1.1195865869522095,mll
winewhite,400,0.0,1.1943178176879883,mll
winewhite,400,0.0,1.0717706680297852,mll
winewhite,400,0.0,1.1085729598999023,mll
winewhite,400,0.0,1.1072876453399658,mll
winewhite,400,0.0,1.147902250289917,mll
winewhite,400,0.0,0.9963101148605347,mll
winewhite,400,0.0,1.131543755531311,mll
winewhite,400,0.0,1.114966869354248,mll
winered,200,0.9,0.86758953332901,cmll
winered,200,0.9,0.7950394749641418,cmll
winered,200,0.9,0.8256292343139648,cmll
winered,200,0.9,0.8104023337364197,cmll
winered,200,0.9,0.8324719071388245,cmll
winered,200,0.9,0.7852655649185181,cmll
winered,200,0.9,0.7577303647994995,cmll
winered,200,0.9,0.8277378678321838,cmll
winered,200,0.9,0.7831429243087769,cmll
winered,200,0.9,0.844135582447052,cmll
power,600,0.75,0.2626904249191284,cmll
power,600,0.75,0.27832871675491333,cmll
power,600,0.75,0.2621113359928131,cmll
power,600,0.75,0.2744908630847931,cmll
power,600,0.75,0.2627308666706085,cmll
power,600,0.75,0.27133792638778687,cmll
power,600,0.75,0.2664959132671356,cmll
power,600,0.75,0.26477962732315063,cmll
power,600,0.75,0.267736554145813,cmll
power,600,0.75,0.2710120379924774,cmll
power,400,0.0,0.2786814272403717,mll
power,400,0.0,0.26864057779312134,mll
power,400,0.0,0.2713695764541626,mll
power,400,0.0,0.26702994108200073,mll
power,400,0.0,0.26786208152770996,mll
power,400,0.0,0.27283450961112976,mll
power,400,0.0,0.28048601746559143,mll
power,400,0.0,0.2834511697292328,mll
power,400,0.0,0.2710384726524353,mll
power,400,0.0,0.26789793372154236,mll
power,400,0.0,0.2826814651489258,mll
power,400,0.0,0.27337247133255005,mll
power,400,0.0,0.2671884000301361,mll
power,400,0.0,0.26858124136924744,mll
power,400,0.0,0.2877342402935028,mll
power,400,0.0,0.2736373543739319,mll
power,400,0.0,0.2683808505535126,mll
power,400,0.0,0.2670675218105316,mll
power,400,0.0,0.27382317185401917,mll
power,400,0.0,0.2958851456642151,mll
energy,400,0.5,0.11745566129684448,cmll
energy,400,0.5,0.1108570247888565,cmll
energy,400,0.5,0.14593857526779175,cmll
energy,400,0.5,0.15694007277488708,cmll
energy,400,0.5,0.12511172890663147,cmll
energy,400,0.5,0.2027260959148407,cmll
energy,400,0.5,0.14767047762870789,cmll
energy,400,0.5,0.19403226673603058,cmll
energy,400,0.5,0.1389438658952713,cmll
energy,400,0.5,0.17786039412021637,cmll
winered,600,0.9,0.7702663540840149,cmll
winered,600,0.9,0.7483411431312561,cmll
winered,600,0.9,0.7713068723678589,cmll
winered,600,0.9,0.7678603529930115,cmll
winered,600,0.9,0.7012407183647156,cmll
winered,600,0.9,0.7416022419929504,cmll
winered,600,0.9,0.7265874147415161,cmll
winered,600,0.9,0.8500635623931885,cmll
winered,600,0.9,0.7740395069122314,cmll
winered,600,0.9,0.7266672253608704,cmll
energy,200,0.0,0.27166736125946045,mll
energy,200,0.0,0.19524918496608734,mll
energy,200,0.0,0.21293853223323822,mll
energy,200,0.0,0.18508754670619965,mll
energy,200,0.0,0.234828382730484,mll
energy,200,0.0,0.2309872955083847,mll
energy,200,0.0,0.20190812647342682,mll
energy,200,0.0,0.2450816035270691,mll
energy,200,0.0,0.21513547003269196,mll
energy,200,0.0,0.19785289466381073,mll
boston,200,0.75,0.3381160497665405,cmll
boston,200,0.75,0.31186041235923767,cmll
boston,200,0.75,0.3249553143978119,cmll
boston,200,0.75,0.29894116520881653,cmll
boston,200,0.75,0.31821829080581665,cmll
boston,200,0.75,0.30994370579719543,cmll
boston,200,0.75,0.30776506662368774,cmll
boston,200,0.75,0.31813931465148926,cmll
boston,200,0.75,0.2897999882698059,cmll
boston,200,0.75,0.319235235452652,cmll
winered,600,0.1,1.0523539781570435,cmll
winered,600,0.1,0.9653710126876831,cmll
winered,600,0.1,0.9259766340255737,cmll
winered,600,0.1,0.8369926810264587,cmll
winered,600,0.1,0.875158429145813,cmll
winered,600,0.1,0.940039873123169,cmll
winered,600,0.1,0.8495939373970032,cmll
winered,600,0.1,0.9881054759025574,cmll
winered,600,0.1,1.0025330781936646,cmll
winered,600,0.1,0.9317430853843689,cmll
concrete,100,0.5,0.542654812335968,cmll
